               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.071193,           0.0066169,                   0,             0.75714,             0.76458,             0.77098,               0.318,            0.076946,           0.0067097,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.070586,           0.0066269,                   0,             0.75886,             0.76598,             0.77264,              0.3192,            0.076859,           0.0067072,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.071067,            0.006651,                   0,             0.76159,             0.76887,             0.77551,             0.32035,             0.07679,            0.006705,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.070325,           0.0065992,                   0,             0.76233,             0.76954,             0.77624,             0.32143,            0.076735,           0.0067031,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.070442,           0.0066598,                   0,             0.76299,             0.77011,             0.77652,             0.32126,            0.076831,           0.0067017,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.070442,            0.006606,                   0,             0.76509,             0.77223,             0.77895,             0.32209,            0.076771,              0.0067,                   0,            0.008614,            0.008614,            0.008614
                  44,             0.06986,           0.0066231,                   0,              0.7667,             0.77284,             0.78012,             0.32248,            0.076708,           0.0066968,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.070421,           0.0066011,                   0,             0.76704,             0.77308,             0.78128,             0.32352,            0.076649,           0.0066943,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.070036,           0.0066468,                   0,             0.76836,             0.77487,             0.78226,             0.32394,            0.076592,           0.0066958,                   0,            0.008515,            0.008515,            0.008515
                  47,             0.07013,           0.0065727,                   0,             0.76913,             0.77624,             0.78335,              0.3248,            0.076546,           0.0066956,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.069748,           0.0065635,                   0,             0.76953,             0.77664,             0.78314,             0.32546,            0.076502,           0.0066958,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.069876,           0.0065838,                   0,             0.77162,             0.77922,             0.78495,             0.32646,            0.076544,           0.0066913,                   0,            0.008416,            0.008416,            0.008416
